5029194.5,5094836.0,6062355.5,6440898.0,288846.03,1438040.4,5835825.0,4985764.0,4733832.0,2373665.0,7637337.5,3149674.0,1754763.4,1109807.9,4747022.5,1745238.1,1330208.6,609144.6,2126467.5,1927463.6,1803480.1,6256852.0,511980.0,2586601.2,1831284.4,1481607.0,1536160.9,3721418.2,826259.7,2828381.5,6248224.5,3277982.0,292275.75,1917373.2,589715.25,1392622.6,6516165.5,1312337.5,289416.1,2374378.0
4940969.0,5091793.0,4314794.5,6440898.0,75103.03,1438040.4,1719455.6,3591048.0,87588.88,2373665.0,1425760.9,2874838.0,1591549.9,1109807.9,2876770.5,1745238.1,1330208.6,104260.52,2126467.5,1359112.4,636165.0,5717625.0,511980.0,1934213.0,1830549.9,1481607.0,1150284.9,3721188.2,826259.5,2828381.5,6248224.5,3277982.0,292275.75,1917373.2,584960.4,1392622.6,718073.9,1312337.5,289416.1,2374147.5
4940969.0,2136192.2,3559538.2,2995555.8,75103.03,1438040.4,1719455.6,1308728.5,87588.88,1964357.9,1425760.9,594502.44,1587079.0,1109807.9,388196.56,1744477.4,1330208.6,104260.52,2126467.5,1359112.4,636165.0,5717625.0,511980.0,1934213.0,1602702.2,1481607.0,1150284.9,3721188.2,826259.5,80425.74,5077147.0,2891732.2,197469.12,597210.25,584960.4,765030.25,718050.6,150067.03,289416.1,2374147.5
868585.5,2136192.2,1558619.9,1702221.8,75103.03,1438040.4,1719455.6,172069.9,87588.88,1437600.6,1425760.9,594502.44,1587079.0,1109807.9,388196.56,590599.1,1330208.6,104260.52,542316.8,1359112.4,636165.0,5717625.0,162679.81,1934213.0,563125.44,1481607.0,1150284.9,190732.05,826259.5,80425.74,4438068.0,1488082.6,197469.12,597210.25,584960.4,765030.25,718050.6,150067.03,289416.1,2374147.5
540034.9,1203721.9,772083.7,1702221.8,75103.03,1438040.4,1719455.6,172069.9,87588.88,189410.8,1425760.9,594502.44,1587079.0,848135.0,388196.56,590599.1,1330208.6,104260.52,542316.8,1359112.4,636165.0,1123165.1,162679.81,1114396.4,563125.44,1481607.0,1150284.9,190732.05,86224.38,80425.74,1224343.0,1484901.4,197199.08,597210.25,584960.4,765030.25,667902.2,150067.03,289416.1,1832783.6
540034.9,1203721.9,582174.3,1702221.8,75103.03,1438040.4,1719455.6,172069.9,87588.88,189410.8,1425760.9,594502.44,261755.94,848135.0,388196.56,590391.1,1330208.6,104260.52,542316.8,842022.44,636165.0,1123165.1,148491.31,1114396.4,563125.44,1481607.0,1150284.9,190731.23,86224.38,80425.74,1224343.0,1484901.4,140796.42,597210.25,584960.4,765030.25,667902.2,150067.03,289416.1,359220.22
540034.9,1203721.9,582174.3,1242149.8,75103.03,1438040.4,1719455.6,172069.9,87588.88,189410.8,350024.56,594502.44,261755.94,848135.0,388196.56,590391.1,1330208.6,104260.52,542316.8,842022.44,636165.0,491695.16,148491.31,1114396.4,563125.44,1481607.0,1150284.9,190731.23,86224.38,80425.74,708691.9,1033062.75,140773.03,597210.25,584960.4,347931.0,667902.2,150067.03,160204.47,285375.0
540034.9,1057977.9,582174.3,1242149.8,75103.03,1438040.4,1621787.4,172069.9,87588.88,189410.8,350024.56,594502.44,261755.94,848135.0,388196.56,410430.22,1330208.6,104260.52,542316.8,842022.44,636165.0,491695.16,148491.31,1114396.4,563125.44,1481607.0,313944.62,190731.23,86224.38,80425.74,708691.9,328378.12,140660.81,597210.25,584960.4,347931.0,667902.2,150067.03,160204.47,285375.0
540034.9,966088.6,582174.3,979431.9,75103.03,1438040.4,1621787.4,172069.9,87588.88,189410.8,350024.56,594502.44,261755.94,848135.0,388196.56,363148.47,340382.66,104260.52,509327.56,842022.44,636165.0,313395.28,148491.31,1112684.5,563125.44,500275.4,257845.69,190731.23,86224.38,80425.74,708691.9,328378.12,140660.81,597210.25,584960.4,300821.3,469323.12,149818.73,159505.53,285375.0
356158.4,966088.6,582174.3,976302.7,75103.03,1438040.4,1601757.8,172069.9,87588.88,189410.8,350024.56,594502.44,98343.88,848135.0,388196.56,330610.62,152172.34,104260.52,509327.56,842022.44,636165.0,313395.28,148491.31,1112684.5,563125.44,500275.4,257845.69,190731.23,86224.38,80425.74,159953.34,328378.12,140660.81,597210.25,584960.4,300821.3,469027.8,149818.73,159505.53,285375.0
356158.4,966088.6,508489.88,976302.7,75103.03,1438040.4,1601757.8,172069.9,87588.88,189410.8,350024.56,487793.1,98343.88,848135.0,388196.56,330610.62,152172.34,104260.52,509327.56,842022.44,217108.77,313395.28,148401.2,978402.25,532131.75,500275.4,257845.69,105079.4,86224.38,80425.74,159953.34,328378.12,111700.27,597210.25,584960.4,300821.3,469027.8,149818.73,159505.53,285375.0
356158.4,966088.6,508489.88,976302.7,75103.03,1438040.4,712134.06,172069.9,82750.016,189410.8,298565.25,487793.1,91194.945,848135.0,388196.28,330571.88,152172.34,104260.52,509327.56,842022.44,217108.77,296575.47,148154.7,978402.25,532131.75,500275.4,257845.69,105079.4,86224.38,80425.74,159953.34,328378.12,111700.27,281817.8,584960.4,300821.3,469027.8,149818.73,159505.53,285375.0
263637.44,785459.56,508489.88,976302.7,75103.03,1438040.4,712133.5,172069.9,82750.016,189410.8,102856.29,487793.1,91194.945,848135.0,388196.28,330571.88,152148.39,104260.52,498704.44,842022.44,217108.77,296575.47,148154.7,978402.25,532131.75,500275.4,246197.64,105079.4,86224.38,80425.74,159953.34,328378.12,111700.27,143136.89,584960.4,265389.84,469027.8,149818.73,159505.53,285375.0
